stimulus,trials_id,acc,correct_response,decision,rt,decision_2,rt_type2,stim,response,rating
../data/img/sub_test/triangle/triangle54-0.65_4.png,81,1,Good,好人,1187,正确,888,1,1,2
../data/img/sub_test/triangle/triangle69-0.65_1.png,82,1,Good,好人,1100,正确,800,1,1,2
../data/img/sub_test/triangle/triangle12-0.65_2.png,83,1,Good,好人,971,正确,925,1,1,2
../data/img/sub_test/circle/circle93-0.65_2.png,84,1,No_info,常人,855,正确,751,0,0,2
../data/img/sub_test/triangle/triangle11-0.65_1.png,85,1,Good,好人,1204,正确,1000,1,1,2
../data/img/sub_test/circle/circle93-0.65_4.png,86,0,No_info,好人,1174,正确,1129,0,1,2
../data/img/sub_test/square/square50-0.65_1.png,88,1,Bad,坏人,1025,错误,1012,0,0,1
../data/img/sub_test/circle/circle86-0.65_1.png,89,1,No_info,常人,1231,正确,1136,0,0,2
../data/img/sub_test/square/square57-0.65_2.png,90,1,Bad,坏人,1439,正确,831,0,0,2
../data/img/sub_test/triangle/triangle45-0.65_5.png,91,1,Good,好人,1180,错误,943,1,1,1
../data/img/sub_test/square/square73-0.65_5.png,92,1,Bad,坏人,1333,正确,978,0,0,2
../data/img/sub_test/square/square50-0.65_5.png,93,0,Bad,常人,1339,正确,1071,0,0,2
../data/img/sub_test/circle/circle71-0.65_3.png,94,1,No_info,常人,1065,正确,1218,0,0,2
../data/img/sub_test/square/square1-0.65_5.png,95,0,Bad,好人,947,正确,1339,0,1,2
../data/img/sub_test/circle/circle56-0.65_2.png,96,0,No_info,好人,921,错误,1158,0,1,1
../data/img/sub_test/square/square8-0.65_3.png,97,0,Bad,常人,1114,错误,1192,0,0,1
../data/img/sub_test/circle/circle16-0.65_4.png,98,0,No_info,好人,1111,正确,1455,0,1,2
../data/img/sub_test/triangle/triangle55-0.65_5.png,99,0,Good,常人,1269,错误,1204,1,0,1
../data/img/sub_test/square/square74-0.65_1.png,100,0,Bad,常人,992,正确,899,0,0,2
../data/img/sub_test/triangle/triangle40-0.65_3.png,101,1,Good,好人,1064,正确,1009,1,1,2
../data/img/sub_test/circle/circle48-0.65_4.png,102,1,No_info,常人,1072,错误,1428,0,0,1
../data/img/sub_test/triangle/triangle1-0.65_2.png,103,1,Good,好人,1267,正确,1316,1,1,2
../data/img/sub_test/triangle/triangle63-0.65_2.png,104,0,Good,常人,892,错误,1124,1,0,1
../data/img/sub_test/square/square5-0.65_2.png,105,1,Bad,坏人,1198,正确,1011,0,0,2
../data/img/sub_test/circle/circle89-0.65_1.png,108,0,No_info,坏人,621,错误,1416,0,0,1
../data/img/sub_test/square/square67-0.65_2.png,110,0,Bad,常人,1397,错误,1462,0,0,1
../data/img/sub_test/square/square82-0.65_1.png,112,1,Bad,坏人,1228,正确,1485,0,0,2
../data/img/sub_test/triangle/triangle18-0.65_5.png,113,1,Good,好人,902,正确,1057,1,1,2
../data/img/sub_test/circle/circle1-0.65_3.png,114,0,No_info,坏人,1066,正确,1214,0,0,2
../data/img/sub_test/square/square79-0.65_4.png,115,1,Bad,坏人,1071,正确,1011,0,0,2
../data/img/sub_test/triangle/triangle60-0.65_2.png,116,1,Good,好人,1455,正确,877,1,1,2
../data/img/sub_test/square/square84-0.65_5.png,117,1,Bad,坏人,1507,正确,967,0,0,2
../data/img/sub_test/square/square6-0.65_1.png,118,0,Bad,好人,1163,错误,1169,0,1,1
../data/img/sub_test/triangle/triangle20-0.65_4.png,119,1,Good,好人,1336,正确,1226,1,1,2
../data/img/sub_test/triangle/triangle46-0.65_4.png,120,1,Good,好人,1426,正确,808,1,1,2
../data/img/sub_test/circle/circle39-0.65_1.png,121,1,No_info,常人,1176,正确,966,0,0,2
