"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","exp_type","correct_response","acc","decision","record_acc","decision_2"
"","","","","","html-keyboard-response","977","1293750","0.0-0.0-11.0-0.25","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","978","1293954","0.0-0.0-11.0-1.25","null","../data/img/test/circle/circle24_3.png","null","","No_info","0","Noinclude","",""
"","","","","","html-keyboard-response","979","1295303","0.0-0.0-11.0-2.25","1348","<p> </p>","j","","No_info","1","无信息","yes",""
"","","","","","html-keyboard-response","980","1296530","0.0-0.0-11.0-3.25","1227","<p style =' color : white'>你认为刚才你的判断是?</p>","d","","","","","no","正确"
"","","","","","html-keyboard-response","981","1297033","0.0-0.0-11.0-0.26","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","982","1297245","0.0-0.0-11.0-1.26","null","../data/img/test/circle/circle41_2.png","null","","No_info","0","Noinclude","",""
"","","","","","html-keyboard-response","983","1299191","0.0-0.0-11.0-2.26","1945","<p> </p>","j","","No_info","1","无信息","yes",""
"","","","","","html-keyboard-response","984","1300501","0.0-0.0-11.0-3.26","1309","<p style =' color : white'>你认为刚才你的判断是?</p>","a","","","","","no","错误"
"","","","","","html-keyboard-response","985","1301014","0.0-0.0-11.0-0.27","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","986","1301217","0.0-0.0-11.0-1.27","null","../data/img/test/square/square45_3.png","null","","Bad","0","Noinclude","",""
"","","","","","html-keyboard-response","987","1302858","0.0-0.0-11.0-2.27","1640","<p> </p>","l","","Bad","1","坏人","yes",""
"","","","","","html-keyboard-response","988","1303673","0.0-0.0-11.0-3.27","814","<p style =' color : white'>你认为刚才你的判断是?</p>","a","","","","","no","正确"
"","","","","","html-keyboard-response","989","1304181","0.0-0.0-11.0-0.28","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","990","1304386","0.0-0.0-11.0-1.28","null","../data/img/test/circle/circle76_1.png","null","","No_info","0","Noinclude","",""
"","","","","","html-keyboard-response","991","1306394","0.0-0.0-11.0-2.28","null","<p> </p>","null","","No_info","0","","yes",""
"","","","","","html-keyboard-response","992","1307405","0.0-0.0-11.0-3.28","1010","<p style =' color : white'>你认为刚才你的判断是?</p>","a","","","","","no","正确"
"","","","","","html-keyboard-response","993","1307918","0.0-0.0-11.0-0.29","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","994","1308121","0.0-0.0-11.0-1.29","null","../data/img/test/circle/circle40_5.png","null","","No_info","0","Noinclude","",""
"","","","","","html-keyboard-response","995","1308978","0.0-0.0-11.0-2.29","857","<p> </p>","k","","No_info","1","无信息","yes",""
"","","","","","html-keyboard-response","996","1309537","0.0-0.0-11.0-3.29","559","<p style =' color : white'>你认为刚才你的判断是?</p>","a","","","","","no","正确"
"","","","","","html-keyboard-response","997","1310045","0.0-0.0-11.0-0.30","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","998","1310253","0.0-0.0-11.0-1.30","null","../data/img/test/square/square77_4.png","null","","Bad","0","Noinclude","",""
"","","","","","html-keyboard-response","999","1311969","0.0-0.0-11.0-2.30","1714","<p> </p>","l","","Bad","1","坏人","yes",""
"","","","","","html-keyboard-response","1000","1313079","0.0-0.0-11.0-3.30","1110","<p style =' color : white'>你认为刚才你的判断是?</p>","a","","","","","no","正确"
"","","","","","html-keyboard-response","1001","1313587","0.0-0.0-11.0-0.31","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","1002","1313797","0.0-0.0-11.0-1.31","null","../data/img/test/circle/circle84_5.png","null","","No_info","0","Noinclude","",""
"","","","","","html-keyboard-response","1003","1315605","0.0-0.0-11.0-2.31","1807","<p> </p>","k","","No_info","0","坏人","yes",""
"","","","","","html-keyboard-response","1004","1317259","0.0-0.0-11.0-3.31","1653","<p style =' color : white'>你认为刚才你的判断是?</p>","d","","","","","no","正确"
"","","","","","html-keyboard-response","1005","1317764","0.0-0.0-11.0-0.32","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","1006","1317970","0.0-0.0-11.0-1.32","null","../data/img/test/circle/circle39_2.png","null","","No_info","0","Noinclude","",""
"","","","","","html-keyboard-response","1007","1319250","0.0-0.0-11.0-2.32","1279","<p> </p>","k","","No_info","1","无信息","yes",""
"","","","","","html-keyboard-response","1008","1320585","0.0-0.0-11.0-3.32","1334","<p style =' color : white'>你认为刚才你的判断是?</p>","d","","","","","no","正确"
"","","","","","html-keyboard-response","1009","1321091","0.0-0.0-11.0-0.33","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","1010","1321301","0.0-0.0-11.0-1.33","null","../data/img/test/circle/circle17_5.png","null","","No_info","0","Noinclude","",""
"","","","","","html-keyboard-response","1011","1322398","0.0-0.0-11.0-2.33","1096","<p> </p>","j","","No_info","1","无信息","yes",""
"","","","","","html-keyboard-response","1012","1323793","0.0-0.0-11.0-3.33","1394","<p style =' color : white'>你认为刚才你的判断是?</p>","a","","","","","no","正确"
"","","","","","html-keyboard-response","1013","1324301","0.0-0.0-11.0-0.34","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
